SleepQuality,Steps,Alarm,TimeInBed,TimeAsleep,TimeBeforeSleep,SnoreTime
88.0,7412,1,27064.7,25440.8,180.4,0
100.0,8293,0,36279.8,32168.1,4111.7,0
99.0,554,0,33787.8,28719.6,4167.2,0
60.0,0,1,21823.5,21678.1,145.5,0
77.0,0,1,25824.4,22209.0,1721.6,0
68.0,0,0,22089.2,18186.8,1914.4,0
81.0,0,0,27035.3,23160.2,1532.0,0
85.0,0,0,26752.7,22739.8,2051.0,0
87.0,0,0,29182.2,25680.3,1459.1,0
66.0,0,1,21987.7,16270.9,1685.7,0
90.0,0,0,30082.9,24367.1,2105.8,0
53.0,0,0,19902.8,17912.5,1326.9,0
89.0,0,0,29377.1,26929.0,1860.6,0
79.0,0,0,25559.8,19936.6,2215.2,0
84.0,0,0,28132.0,24662.4,1875.5,0
93.0,0,0,29468.9,25441.5,1768.1,0
72.0,0,0,23792.9,20541.2,1982.7,0
92.0,0,0,31171.9,28262.5,1350.8,0
83.0,0,0,30325.6,25271.4,202.2,0
63.0,0,0,20853.6,16196.3,2015.9,0
71.0,0,0,23492.7,20282.0,1801.1,0
86.0,0,0,31053.5,28051.7,2173.7,0
75.0,0,0,26658.7,22393.3,177.7,0
94.0,0,0,30864.2,25617.3,1543.2,0
83.0,0,0,30561.6,29644.7,203.7,0
60.0,0,1,20556.0,17883.7,1370.4,0
77.0,0,0,38336.0,32074.4,255.6,0
67.0,0,0,28602.3,24502.6,1716.1,0
74.0,0,0,33711.7,28655.0,224.7,0
86.0,0,1,30095.4,26784.9,200.6,0
87.0,0,1,28062.0,22449.6,187.1,0
86.0,0,0,31538.7,26702.8,210.3,0
88.0,0,0,34121.3,28320.6,227.5,0
74.0,0,0,26044.8,23093.0,173.6,0
64.0,0,0,20692.6,16967.9,138.0,0
99.0,0,0,35850.6,29636.5,239.0,0
70.0,0,0,23974.4,19259.4,159.8,0
95.0,0,0,36537.2,33857.8,243.6,0
47.0,0,0,17045.6,14772.9,113.6,0
79.0,0,0,28243.1,23253.5,188.3,0
66.0,0,1,23253.9,19455.8,155.0,0
99.0,0,0,30760.4,26761.6,205.1,0
68.0,0,0,25080.5,21569.2,167.2,0
89.0,0,1,31046.0,28251.9,207.0,0
68.0,0,1,22812.6,18554.2,152.1,0
90.0,0,1,29551.2,24921.5,197.0,0
87.0,0,0,32929.6,30295.3,219.5,0
77.0,0,0,29496.4,27824.9,196.6,0
72.0,0,0,24232.1,21808.9,161.5,0
56.0,0,0,31448.2,26835.8,209.7,0
65.0,0,1,24373.6,20961.3,162.5,0
67.0,0,1,23469.4,20027.2,156.5,0
82.0,0,1,26385.7,22251.9,175.9,0
63.0,0,1,22937.5,17891.2,152.9,0
72.0,0,1,22858.3,19124.7,152.4,0
70.0,0,1,19754.0,16330.0,131.7,0
86.0,0,1,27058.9,25435.4,180.4,0
100.0,0,0,33287.5,30291.6,221.9,0
68.0,0,1,20217.6,16039.3,134.8,0
64.0,0,1,21126.6,17746.4,140.8,0
75.0,0,1,21510.2,19144.1,143.4,0
65.0,0,1,21392.9,18968.4,142.6,0
70.0,0,1,23264.4,20705.3,155.1,0
74.0,0,1,23352.6,21017.3,155.7,0
